date;city;postal_code;street;;protection_radius_km;protection_time_months
02/05/2026;Löbau;2708;;;100;6
03/05/2026;Cottbus;3048;;;100;6
23/05/2026;Sömmerda;99610;;;100;6
24/05/2026;Bad Elster;8645;;;100;6
19/07/2026;Reichwalde;2943;;;100;6
08/08/2026;Baunatal;34225;;;100;6
13/08/2026;Wiesmoor;26639;;;100;6
14/08/2026;Gronau;48599;;;100;6
29/08/2026;Köln;51107;;;100;6
26/09/2026;Osnabrück;49080;;;100;6
31/10/2026;Elsteraue;6724;;;100;6
01/11/2026;Bernau (bei Berlin);16321;;;100;6
07/11/2026;Weissenhäuser Strand;23758;;;100;6
30/01/2027;Hamm;59063;;;100;6
20/02/2027;Braunschweig;30100;;;100;6
06/06/2027;Beelitz;14547;;;100;6
